COMMODITY,VARIETY,ARRIVAL_DATE,MODAL_PRICE
Pointed gourd (Parval),Other,27/03/2015,4500.0
Pointed gourd (Parval),Other,30/03/2015,4000.0
Pointed gourd (Parval),Other,31/03/2015,4000.0
Pointed gourd (Parval),Other,01/04/2015,4000.0
Pointed gourd (Parval),Other,03/04/2015,4000.0
Pointed gourd (Parval),Other,04/04/2015,4250.0
Pointed gourd (Parval),Other,06/04/2015,4500.0
Pointed gourd (Parval),Other,07/04/2015,4250.0
Pointed gourd (Parval),Other,08/04/2015,3750.0
Pointed gourd (Parval),Other,09/04/2015,3800.0
Pointed gourd (Parval),Other,10/04/2015,3875.0
Pointed gourd (Parval),Other,15/04/2015,3875.0
Pointed gourd (Parval),Other,16/04/2015,4000.0
Pointed gourd (Parval),Other,17/04/2015,3875.0
Pointed gourd (Parval),Other,21/04/2015,2750.0
Pointed gourd (Parval),Other,22/04/2015,2700.0
Pointed gourd (Parval),Other,23/04/2015,2550.0
Pointed gourd (Parval),Other,24/04/2015,2425.0
Pointed gourd (Parval),Other,25/04/2015,2300.0
Pointed gourd (Parval),Other,28/04/2015,2150.0
Pointed gourd (Parval),Other,29/04/2015,2175.0
Pointed gourd (Parval),Other,01/05/2015,2075.0
Pointed gourd (Parval),Other,04/05/2015,2125.0
Pointed gourd (Parval),Other,05/05/2015,2375.0
Pointed gourd (Parval),Other,06/05/2015,2750.0
Pointed gourd (Parval),Other,07/05/2015,2750.0
Pointed gourd (Parval),Other,09/05/2015,2900.0
Pointed gourd (Parval),Other,11/05/2015,2950.0
Pointed gourd (Parval),Other,12/05/2015,2875.0
Pointed gourd (Parval),Other,18/05/2015,2125.0
Pointed gourd (Parval),Other,19/05/2015,2375.0
Pointed gourd (Parval),Other,20/05/2015,2625.0
Pointed gourd (Parval),Other,21/05/2015,2750.0
Pointed gourd (Parval),Other,22/05/2015,3125.0
Pointed gourd (Parval),Other,23/05/2015,3125.0
Pointed gourd (Parval),Other,26/05/2015,3125.0
Pointed gourd (Parval),Other,27/05/2015,3125.0
Pointed gourd (Parval),Other,29/05/2015,2875.0
Pointed gourd (Parval),Other,30/05/2015,2850.0
Pointed gourd (Parval),Other,01/06/2015,2875.0
Pointed gourd (Parval),Other,02/06/2015,2875.0
