DATE,MODAL
2010-05-10,600.0
2010-05-11,575.0
2010-05-12,587.0
2010-05-13,587.0
2010-05-14,575.0
2010-05-15,600.0
2010-05-16,587.5
2010-05-17,575.0
2010-05-18,568.5
2010-05-19,562.0
2010-05-20,562.0
2010-05-21,575.0
2010-05-22,570.6666666666666
2010-05-23,566.3333333333334
2010-05-24,562.0
2010-05-25,600.0
2010-05-26,581.0
2010-05-27,562.0
2010-05-28,600.0
2010-05-29,625.0
2010-05-30,593.5
2010-05-31,562.0
2010-06-01,562.0
2010-06-02,587.0
2010-06-03,587.0
2010-06-04,587.0
2010-06-05,600.0
2010-06-06,631.0
2010-06-07,662.0
2010-06-08,587.0
2010-06-09,624.5
2010-06-10,662.0
2010-06-11,600.0
2010-06-12,600.0
2010-06-13,600.0
2010-06-14,600.0
2010-06-15,575.0
2010-06-16,600.0
2010-06-17,600.0
2010-06-18,600.0
2010-06-19,600.0
2010-06-20,600.0
2010-06-21,600.0
2010-06-22,612.0
2010-06-23,587.0
2010-06-24,600.0
2010-06-25,600.0
2010-06-26,608.3333333333334
2010-06-27,616.6666666666666
2010-06-28,625.0
2010-06-29,575.0
2010-06-30,575.0
2010-07-01,600.0
2010-07-02,575.0
2010-07-03,612.0
2010-07-04,599.5
2010-07-05,587.0
2010-07-06,600.0
2010-07-07,600.0
2010-07-08,612.0
2010-07-09,575.0
2010-07-10,575.0
2010-07-11,575.0
2010-07-12,575.0
2010-07-13,575.0
2010-07-14,575.0
2010-07-15,562.0
2010-07-16,562.0
2010-07-17,525.0
2010-07-18,543.5
2010-07-19,562.0
2010-07-20,537.0
2010-07-21,537.0
2010-07-22,575.0
2010-07-23,537.0
2010-07-24,537.0
2010-07-25,537.0
2010-07-26,537.0
2010-07-27,533.4285714285714
2010-07-28,529.8571428571429
2010-07-29,526.2857142857143
2010-07-30,522.7142857142857
2010-07-31,519.1428571428571
2010-08-01,515.5714285714286
2010-08-02,512.0
2010-08-03,487.0
2010-08-04,525.0
2010-08-05,487.0
2010-08-06,500.0
2010-08-07,487.0
2010-08-08,493.5
2010-08-09,500.0
2010-08-10,493.5
2010-08-11,487.0
2010-08-12,525.0
2010-08-13,525.0
2010-08-14,516.6666666666666
2010-08-15,508.3333333333333
2010-08-16,500.0
2010-08-17,487.0
2010-08-18,550.0
2010-08-19,450.0
2010-08-20,458.75
2010-08-21,467.5
2010-08-22,476.25
2010-08-23,485.0
2010-08-24,486.0
2010-08-25,487.0
2010-08-26,500.0
2010-08-27,487.0
2010-08-28,491.3333333333333
2010-08-29,495.6666666666667
2010-08-30,500.0
2010-08-31,525.0
